,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,M_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,M_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,M_georgetown_usaIndex,M_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,M_wallethub_womenEquity,M_hrc_stateEquityIndex,M_move_lgbtqFamily,M_map_equaliltyMaps,M_axios_lgbtq_equality,M_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,M_usNews_equalityRankings
67,CA,Sacramento,5.810072858617131,19,6.597999999999999,2,4.96976,5,5.43536,5,7.35156862745098,4,5.254503267973857,3,6.648999999999999,6.547,2.56,5.558400000000001,5.3544,5.5760000000000005,5.8,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.089,4.4,6.274509803921569
212,CA,Salinas,5.760125490196078,19,6.1235,2,4.96976,5,5.43536,5,7.35156862745098,4,5.254503267973857,3,6.648999999999999,5.598,2.56,5.558400000000001,5.3544,5.5760000000000005,5.8,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.089,4.4,6.274509803921569
95,CA,San Benandino,5.701599174406605,19,5.5675,2,4.96976,5,5.43536,5,7.35156862745098,4,5.254503267973857,3,5.537,5.598,2.56,5.558400000000001,5.3544,5.5760000000000005,5.8,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.089,4.4,6.274509803921569
280,CA,San Bernardino,5.668809700722394,19,5.5675,2,4.96976,5,5.43536,5,7.35156862745098,4,5.04683660130719,3,5.537,5.598,2.56,5.558400000000001,5.3544,5.5760000000000005,5.8,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.465999999999999,4.4,6.274509803921569
80,CA,San Diego,5.747967595459237,19,5.9775,2,4.96976,5,5.43536,5,7.35156862745098,4,5.27483660130719,3,5.884,6.071,2.56,5.558400000000001,5.3544,5.5760000000000005,5.8,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.15,4.4,6.274509803921569
56,CA,San Francisco,5.889809700722394,19,7.108,2,4.98776,5,5.43536,5,7.35156862745098,4,5.389503267973857,3,7.473999999999999,6.742,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.494,4.4,6.274509803921569
64,CA,San Jose,5.869914963880289,19,7.0545,2,4.98776,5,5.43536,5,7.35156862745098,4,5.299169934640523,3,6.861,7.248,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.223,4.4,6.274509803921569
68,CA,Santa Ana,5.8448097007223945,19,6.9245,2,4.98776,5,5.43536,5,7.35156862745098,4,5.22683660130719,3,6.601000000000001,7.248,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.006,4.4,6.274509803921569
178,CA,Santa Barbara,5.799651805985552,19,6.4955,2,4.98776,5,5.43536,5,7.35156862745098,4,5.22683660130719,3,6.601000000000001,6.39,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.006,4.4,6.274509803921569
258,CA,Santa Clarita,5.794757069143447,19,6.4955,2,4.98776,5,5.43536,5,7.35156862745098,4,5.19583660130719,3,6.601000000000001,6.39,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.913,4.4,6.274509803921569
